# Week,HomeTm,VisTm,Date,Time
1,TB,BAL,8/8/2013,19:30:00
1,ATL,CIN,8/8/2013,20:00:00
1,CLE,STL,8/8/2013,20:00:00
1,TEN,WAS,8/8/2013,20:00:00
1,SF,DEN,8/8/2013,21:00:00
1,SD,SEA,8/8/2013,22:00:00
1,DET,NYJ,8/9/2013,19:30:00
1,PHI,NE,8/9/2013,19:30:00
1,JAX,MIA,8/9/2013,19:30:00
1,CAR,CHI,8/9/2013,20:00:00
1,MIN,HOU,8/9/2013,20:00:00
1,NO,KC,8/9/2013,20:00:00
1,GB,AZ,8/9/2013,20:00:00
1,OAK,DAL,8/9/2013,22:00:00
1,PIT,NYG,8/10/2013,19:30:00
1,IND,BUF,8/11/2013,13:30:00
2,PHI,CAR,8/15/2013,19:00:00
2,BAL,ATL,8/15/2013,19:30:00
2,CLE,DET,8/15/2013,19:30:00
2,CHI,SD,8/15/2013,20:00:00
2,BUF,MIN,8/16/2013,19:00:00
2,KC,SF,8/16/2013,20:00:00
2,NE,TB,8/16/2013,20:00:00
2,NO,OAK,8/16/2013,20:00:00
2,AZ,DAL,8/17/2013,16:30:00
2,CIN,TEN,8/17/2013,19:00:00
2,NYJ,JAX,8/17/2013,19:30:00
2,STL,GB,8/17/2013,20:00:00
2,HOU,MIA,8/17/2013,20:00:00
2,SEA,DEN,8/17/2013,22:00:00
2,NYG,IND,8/18/2013,19:00:00
2,WAS,PIT,8/19/2013,20:00:00
3,DET,NE,8/22/2013,19:30:00
3,BAL,CAR,8/22/2013,20:00:00
3,GB,SEA,8/23/2013,20:00:00
3,OAK,CHI,8/23/2013,22:00:00
3,WAS,BUF,8/24/2013,16:30:00
3,IND,CLE,8/24/2013,19:00:00
3,NYG,NYJ,8/24/2013,19:00:00
3,MIA,TB,8/24/2013,19:30:00
3,JAX,PHI,8/24/2013,19:30:00
3,PIT,KC,8/24/2013,19:30:00
3,DAL,CIN,8/24/2013,20:00:00
3,DEN,STL,8/24/2013,20:00:00
3,TEN,ATL,8/24/2013,20:00:00
3,AZ,SD,8/24/2013,22:00:00
3,HOU,NO,8/25/2013,16:00:00
3,SF,MIN,8/25/2013,20:00:00
4,BUF,DET,8/29/2013,19:00:00
4,CIN,IND,8/29/2013,19:00:00
4,NYJ,PHI,8/29/2013,19:00:00
4,MIA,NO,8/29/2013,19:30:00
4,ATL,JAX,8/29/2013,19:30:00
4,NE,NYG,8/29/2013,19:30:00
4,TB,WAS,8/29/2013,19:30:00
4,CAR,PIT,8/29/2013,19:30:00
4,CHI,CLE,8/29/2013,20:00:00
4,DAL,HOU,8/29/2013,20:00:00
4,KC,GB,8/29/2013,20:00:00
4,STL,BAL,8/29/2013,20:00:00
4,MIN,TEN,8/29/2013,20:00:00
4,DEN,AZ,8/29/2013,21:00:00
4,SD,SF,8/29/2013,22:00:00
4,SEA,OAK,8/29/2013,22:00:00
