# Week,HomeTm,VisTm,Date,Time
1,SEA,GB,9/4/2014,20:30:00
1,ATL,NO,9/7/2014,13:00:00
1,CHI,BUF,9/7/2014,13:00:00
1,HOU,WAS,9/7/2014,13:00:00
1,KC,TEN,9/7/2014,13:00:00
1,MIA,NE,9/7/2014,13:00:00
1,NYJ,OAK,9/7/2014,13:00:00
1,PHI,JAX,9/7/2014,13:00:00
1,PIT,CLE,9/7/2014,13:00:00
1,STL,MIN,9/7/2014,13:00:00
1,BAL,CIN,9/7/2014,13:00:00
1,DAL,SF,9/7/2014,16:25:00
1,TB,CAR,9/7/2014,16:25:00
1,DEN,IND,9/7/2014,20:30:00
1,ARI,SD,9/8/2014,22:20:00
1,DET,NYG,9/8/2014,19:10:00
2,BAL,PIT,9/11/2014,20:25:00
2,BUF,MIA,9/14/2014,13:00:00
2,CAR,DET,9/14/2014,13:00:00
2,CIN,ATL,9/14/2014,13:00:00
2,CLE,NO,9/14/2014,13:00:00
2,MIN,NE,9/14/2014,13:00:00
2,NYG,ARI,9/14/2014,13:00:00
2,TEN,DAL,9/14/2014,13:00:00
2,WAS,JAX,9/14/2014,13:00:00
2,SD,SEA,9/14/2014,16:05:00
2,TB,STL,9/14/2014,16:05:00
2,DEN,KC,9/14/2014,16:25:00
2,GB,NYJ,9/14/2014,16:25:00
2,OAK,HOU,9/14/2014,16:25:00
2,SF,CHI,9/14/2014,20:30:00
2,IND,PHI,9/15/2014,20:30:00
3,ATL,TB,9/18/2014,20:25:00
3,BUF,SD,9/21/2014,13:00:00
3,CIN,TEN,9/21/2014,13:00:00
3,CLE,BAL,9/21/2014,13:00:00
3,DET,GB,9/21/2014,13:00:00
3,JAX,IND,9/21/2014,13:00:00
3,NO,MIN,9/21/2014,13:00:00
3,NE,OAK,9/21/2014,13:00:00
3,NYG,HOU,9/21/2014,13:00:00
3,PHI,WAS,9/21/2014,13:00:00
3,STL,DAL,9/21/2014,13:00:00
3,ARI,SF,9/21/2014,16:05:00
3,MIA,KC,9/21/2014,16:25:00
3,SEA,DEN,9/21/2014,16:25:00
3,CAR,PIT,9/21/2014,20:30:00
3,NYJ,CHI,9/22/2014,20:30:00
4,WAS,NYG,9/25/2014,20:25:00
4,CHI,GB,9/28/2014,13:00:00
4,IND,TEN,9/28/2014,13:00:00
4,HOU,BUF,9/28/2014,13:00:00
4,NYJ,DET,9/28/2014,13:00:00
4,PIT,TB,9/28/2014,13:00:00
4,OAK,MIA,9/28/2014,13:00:00
4,BAL,CAR,9/28/2014,13:00:00
4,SD,JAX,9/28/2014,16:05:00
4,MIN,ATL,9/28/2014,16:25:00
4,SF,PHI,9/28/2014,16:25:00
4,DAL,NO,9/28/2014,20:30:00
4,KC,NE,9/29/2014,20:30:00
5,GB,MIN,10/2/2014,20:25:00
5,CAR,CHI,10/5/2014,13:00:00
5,IND,BAL,10/5/2014,13:00:00
5,DAL,HOU,10/5/2014,13:00:00
5,DET,BUF,10/5/2014,13:00:00
5,JAX,PIT,10/5/2014,13:00:00
5,NO,TB,10/5/2014,13:00:00
5,NYG,ATL,10/5/2014,13:00:00
5,TEN,CLE,10/5/2014,13:00:00
5,PHI,STL,10/5/2014,13:00:00
5,DEN,ARI,10/5/2014,16:05:00
5,SD,NYJ,10/5/2014,16:25:00
5,SF,KC,10/5/2014,16:25:00
5,NE,CIN,10/5/2014,20:30:00
5,WAS,SEA,10/6/2014,20:30:00
6,HOU,IND,10/9/2014,20:25:00
6,ATL,CHI,10/12/2014,13:00:00
6,BUF,NE,10/12/2014,13:00:00
6,CIN,CAR,10/12/2014,13:00:00
6,CLE,PIT,10/12/2014,13:00:00
6,MIA,GB,10/12/2014,13:00:00
6,MIN,DET,10/12/2014,13:00:00
6,NYJ,DEN,10/12/2014,13:00:00
6,TEN,JAX,10/12/2014,13:00:00
6,TB,BAL,10/12/2014,13:00:00
6,OAK,SD,10/12/2014,16:05:00
6,ARI,WAS,10/12/2014,16:25:00
6,SEA,DAL,10/12/2014,16:25:00
6,PHI,NYG,10/12/2014,20:30:00
6,STL,SF,10/13/2014,20:30:00
7,NE,NYJ,10/16/2014,20:25:00
7,BUF,MIN,10/19/2014,13:00:00
7,CHI,MIA,10/19/2014,13:00:00
